info,query
Justice in Catherine of Siena (1347–1380),
Abolition in Frances (Fanny) Wright (1795–1852),
Abolitionism in Lydia Maria Child (1802–1880),
Abortion in G.E.M. Anscombe (1919–2001) | ,https://historyofwomenphilosophers.org/ecc/#article=Abortion%20in%20G.E.M.%20Anscombe%20(1919%E2%80%932001)
Action in Hannah Arendt (1905–1975) | ,https://historyofwomenphilosophers.org/ecc/#article=Action%20in%20Hannah%20Arendt%20(1905%E2%80%931975)
Action in Jeanne-Marie Bouvier de la Motte Guyon (1648–1717).,
Aesthetics in Vernon Lee (Violet Paget) (1856–1935),
Affective Memory in Vernon Lee (Violet Paget) (1856–1935),
"Analysis, directional in Susan Stebbing (1885–1943)",
Ancient Medicine and Method in Maja Hudoletnjak Grgić (1964–2010),
Antiscientism in Mary Midgley (1919–2018),
Art in Anne Le Fèvre Dacier (1647–1720),
Art in Madeleine de Scudéry (1607–1701),
Art in Vernon Lee (Violet Paget) (1856–1935),
"Art, Social Significance of in Vernon Lee (Violet Paget) (1856–1935)",
Artistic Experience: Physiology in Vernon Lee (Violet Paget) (1856–1935),
Artistic experience: Psychology in Vernon Lee (Violet Paget) (1856–1935),
Ascent in Diotima of Mantinea (ca. 440 b.c.e.),
Atheism in Frances (Fanny) Wright (1795–1852),
Atheism in Frances Power Cobbe (1822–1904),
Attention in Iris Murdoch (1919–1999),
Attention in Simone Weil (1909–1943),
Authority and Gender in Angélique Arnauld (1591–1661) | ,https://historyofwomenphilosophers.org/ecc/#article=Authority%20and%20Gender%20in%20Ang%C3%A9lique%20Arnauld%20(1591%E2%80%931661)
,
Autobiography in Sarah Kofman (1934–1994),
Barbarism in Simone Weil (1909–1943),
"Being, Nature of in Antoinette Brown Blackwell (1825–1921)",
Basis of Morality in Sophie de Grouchy (1764–1822) | ,https://historyofwomenphilosophers.org/ecc/#article=Basis%20of%20Morality%20in%20Sophie%20de%20Grouchy%20(1764%E2%80%931822)
,
"Beautiful, the in Vernon Lee (Violet Paget) (1856–1935)",
Beauty in Diotima of Mantinea (ca. 440 B.C.E.) | ,https://historyofwomenphilosophers.org/ecc/#article=Beauty%20in%20Diotima%20of%20Mantinea%20(ca.%20440%20B.C.E.)
,
Beauty in Murasaki Shikibu (ca. 973–ca. 1020),
Benevolent Utility (Duty of) in Catharine Beecher (1800–1878),
Care Ethics in Jane Addams (1860–1935) | ,https://historyofwomenphilosophers.org/ecc/#article=Care%20Ethics%20in%20Jane%20Addams%20(1860%E2%80%931935)
,
Cause and Effect in Catharine Beecher (1800–1878) | ,https://historyofwomenphilosophers.org/ecc/#article=Cause%20and%20Effect%20in%20Catharine%20Beecher%20(1800%E2%80%931878)
,
Certainty in Mechthild von Magdeburg (1207–1282),
Certitude and Doubt in Angélique de Saint-Jean Arnauld d’Andilly (1624–1684),
Civil society in Mary Wollstonecraft (1759–1797) | ,https://historyofwomenphilosophers.org/ecc/#article=Civil%20society%20in%20Mary%20Wollstonecraft%20(1759%E2%80%931797)
,
Community in Edith Stein (1891–1942),
Conformity in Harriet Taylor Mill (1807–1858) | ,https://historyofwomenphilosophers.org/ecc/#article=Conformity%20in%20Harriet%20Taylor%20Mill%20(1807%E2%80%931858)
,
Conscience (Role in Morality) in Catharine Beecher (1800–1878),
Created Beings and Human Nature in Mary Astell (1666–1731) | ,https://historyofwomenphilosophers.org/ecc/#article=Created%20Beings%20and%20Human%20Nature%20in%20Mary%20Astell%20(1666%E2%80%931731)
Creation in Anne Conway (1631–1679),
Creationism in Anne Bradstreet (1612–1672),
Denomination / Determination in Emily Elizabeth Constance Jones (1848–1922),
Darwinism and Morality in Frances Power Cobbe (1822–1904),
Death In Karoline Von Günderrode (1780–1806),
Determinism and Freedom in Angélique Arnauld (1591–1661) | ,https://historyofwomenphilosophers.org/ecc/#article=Determinism%20and%20Freedom%20in%20Ang%C3%A9lique%20Arnauld%20(1591%E2%80%931661)
,
"Disinterested Love/Friendship in Anne-Thérèse de Marguenat de Courcelles, Marquise de Lambert (1647–1733)",
Dissolve in Alice Ambrose (1906–2001),
Divine attributes in Catherine of Siena (1347–1380),
