School,Total Women,,Total,All TT, TT Women,,All Full,Full NB, Full Women,All Assoc,Associate NB, Assoc Women,All Assist,Assistant NB, Assist Women,All Visit,Visit NB, Visit Women,All Emer,Emer NB, Emer Woman,All Adj,Adj NB, Adj Women,All Lect,Lect NB, Lect Women,All All,Women All,Uncounted faculty
Total,603,,2230,1689,477,,950,2,207,456,0,148,283,2,122,124,0,31,571,0,78,139,0,30,278,0,65,2801,681,
New York University,6,,28,28,6,,24,,3,3,,3,1,,0,0,,0,3,,1,0,,0,0,,0,31,7,
Rutgers University,9,,52,28,7,,25,,6,3,,1,0,,0,3,,0,6,,1,0,,0,21,,2,58,10,
Princeton University,8,,29,20,5,,13,,2,3,,1,4,,2,2,,1,7,,0,0,,0,7,,2,36,8,
University of Michigan,8,,26,23,7,,16,,4,5,,1,2,,2,0,,0,9,,0,0,,0,3,,1,35,8,
Yale University,6,,27,25,6,,21,,5,1,,0,3,1,1,1,,0,3,,0,0,,0,1,,0,30,6,
University of Pittsburgh,7,,27,20,6,,12,,2,3,,2,5,,2,6,,1,5,,0,0,,0,1,,0,32,7,
Harvard University,7,,23,20,6,,15,,3,1,,1,4,,2,0,,0,3,,1,0,,0,3,,1,26,8,
University of Southern California,8,,31,29,7,,17,,4,7,,1,5,,2,0,,0,4,,0,2,,1,0,,0,35,8,
Stanford University,11,,34,26,9,,14,1,4,3,,0,9,,5,5,,1,6,,1,0,,0,3,,1,40,12,
Columbia University (incl. Barnard),13,,29,26,12,,19,,7,3,,2,4,,3,3,,1,3,,0,0,,0,0,,0,32,13,
"University of California, Berkeley",7,,24,18,4,,9,,1,8,,2,1,,1,0,,0,5,,1,2,,1,4,,2,29,8,
"University of California, Los Angeles",10,,32,21,6,,13,,4,3,,0,5,,2,6,,1,6,,0,3,,3,2,,0,38,10,
"University of North Carolina, Chapel Hill",9,,38,22,7,,16,,5,3,,1,3,,1,11,,1,7,,0,0,,0,5,,1,45,9,1
University of Arizona,7,,35,24,5,,21,,4,3,,1,0,,0,8,,1,3,,0,3,,1,0,,0,38,7,
