,Unnamed: 0,username,accountname,peer follower,follower,time on Twitter,gender
0,0,@GreggDCaruso,Gregg Caruso,769,23619,8,men/nonbinary
1,1,@ranilillanjum,Dr Rani Lill Anjum ☮️,718,15178,12,women
2,2,@DailyNousEditor,Daily Nous / Justin Weinberg,706,21771,8,men/nonbinary
3,3,@CliffordSosis,What Is It Like to Be a Philosopher?,697,16168,10,men/nonbinary
4,4,@csandis,Constantine Sandis,688,11808,11,men/nonbinary
5,5,@philosophybites,Nigel Warburton 🧡 #RejoinEU 🇺🇦,686,97277,13,men/nonbinary
6,6,@Philosophy_Mark,Mark Schroeder,682,6678,10,men/nonbinary
7,7,@Helenreflects,Helen De Cruz,655,18440,8,women
8,8,@kate_manne,Kate Manne,651,55441,7,women
9,9,@lastpositivist,Liam Bright,636,50831,11,men/nonbinary
10,10,@anitaleirfall,Anita Leirfall,598,20052,11,women
11,11,@Skye_Cleary,Dr Skye Cleary,584,14207,9,women
12,12,@GuyLongworth,Guy Longworth,573,13329,11,men/nonbinary
13,13,@add_hawk,C Thi Nguyen,565,21584,6,men/nonbinary
14,14,@timcrane102,Tim Crane,556,16832,11,men/nonbinary
15,15,@QCassam,Quassim Cassam,553,8553,7,men/nonbinary
16,16,@JustinCaouette,justin caouette,551,7706,9,men/nonbinary
17,17,@jasonintrator,Jason Stanley,542,122549,8,men/nonbinary
18,18,@katiestockdale,Katie Stockdale,542,8080,11,women
19,19,@davidpapineau,David Papineau,527,15340,12,men/nonbinary
20,20,@cedric_p,Cedric Paternotte,526,6798,14,men/nonbinary
21,21,@cecilymwhiteley,Cecily Whiteley,513,7951,6,women
22,22,@peoppenheimer,Paul Oppenheimer,507,6884,14,men/nonbinary
23,23,@briandavidearp,"Brian D. Earp, Ph.D.",505,24528,10,men/nonbinary
24,24,@keithfrankish,Keith Frankish,500,21073,12,men/nonbinary
25,25,@OlufemiOTaiwo,Olúfẹ́mi O. Táíwò,475,42615,2,men/nonbinary
26,26,@HistPhilosophy,Peter Adamson,468,34585,10,men/nonbinary
27,27,@AnnaEzekiel1,Anna Ezekiel,465,5310,10,women
28,28,@RebeccaBuxton,Rebecca Buxton,464,12229,12,women
29,29,@danieldennett,Daniel Dennett,463,306388,9,men/nonbinary
30,30,@AidanMcGlynn,Aidan McGlynn,453,7321,13,men/nonbinary
31,31,@lisabortolotti,Prof Lisa Bortolotti,440,7879,11,women
32,32,@amiasrinivasan,Amia Srinivasan,437,33375,14,women
33,33,@cdutilhnovaes,Prof. Catarina Dutilh Novaes 😷 💙,436,6115,11,women
34,34,@DanielleWenner,Danielle M. Wenner,433,5295,6,women
35,35,@philosophypills,Marylin Delgado,432,8188,9,women
36,36,@jichikawa,Jonathan Ichikawa,427,9287,13,men/nonbinary
