0,#,Account,Peer followers
1,1.,"Gregg Caruso@GreggDCarusoPhilosopher  @SUNY Corning, @NCHLondon, @Macquarie_Uni | Free Will, Moral Responsibility, Punishment, Phil of Law, Phil Mind, Ethics, Social-Political, Neurolawgreggcaruso.comGoogle Scholar page8 years on TwitterRecent tweets: 38% new, 42% replies, 18% retweets, 2% quotesOn 483 user lists23,619 followers",769
2,2.,"Dr Rani Lill Anjum ☮️@ranilillanjumPhilosopher of science, medicine and causation at @UniNMBU. Work on philosophical bias in science. @Cause_Health #CauSciBook Signed the @Phil4Sustain pledge 🌍Ås, Norwayranilillanjum.comGoogle Scholar page12 years on TwitterRecent tweets: 11% new, 19% replies, 67% retweets, 3% quotesOn 489 user lists15,178 followers",718
3,3.,"Daily Nous / Justin Weinberg@DailyNousEditorNews  for and about the philosophy profession, edited by Justin Weinberg, associate professor of philosophy at the University of South Carolina.dailynous.comPatreon page8 years on TwitterRecent tweets: 71% new, 11% replies, 13% retweets, 4% quotesOn 425 user lists21,771 followers",706
4,4.,"What Is It Like to Be a Philosopher?@CliffordSosisI'm a philosopher creating in-depth autobiographical interviews with philosophers. You can support the project here: patreon.com/whatisitliketo…whatisitliketobeaphilosopher.comPatreon page10 years on TwitterRecent tweets: 64% new, 14% replies, 19% retweets, 3% quotesOn 174 user lists16,168 followers (follows 0.57 accounts per follower)",697
5,5.,"Constantine Sandis@csandisProf @UHPhilosophy Director @lex_academic Fellow @theRSAorg 🌱London, Englandconstantinesandis.com11 years on TwitterRecent tweets: 32% new, 37% replies, 31% retweets, 2% quotesOn 239 user lists11,808 followers (follows 0.53 accounts per follower)",688
6,6.,"Nigel Warburton 🧡 #RejoinEU 🇺🇦@philosophybitesA Little History of Philosophy etc. Philosophy Bites podcast @aeonmag @thenewphil @five_books weekly column @TheNewEuropean. authory.com/NigelWarburtonOxford UKnigelwarburton.typepad.com/philosophy_bit…Patreon page13 years on TwitterRecent tweets: 20% new, 32% replies, 39% retweets, 9% quotesOn 2,559 user lists97,277 followers",686
7,7.,"Mark Schroeder@Philosophy_MarkSometimes  serious. Parent, Professor of Philosophy at USC. Fascinated by but averse to conflict. Opinions expressed here, not reported. He or they.Los Angeles, CAmarkschroeder.netGoogle Scholar page10 years on TwitterRecent tweets: 4% new, 93% replies, 1% retweets, 2% quotesOn 66 user lists6,678 followers",682
8,8.,"Helen De Cruz@HelenreflectsPhilosophy  professor. Philosophy, science, religion, SFF, @SFWA, Codex, occasional  lute video, Philosophy Illustrated w/ @OUPAcademic. Any pronounsUtopiahelendecruz.netGoogle Scholar page8 years on TwitterRecent tweets: 13% new, 65% replies, 15% retweets, 6% quotesOn 190 user lists18,440 followers",655
9,9.,"Kate Manne@kate_manneWriter  & philosopher at Cornell, author of Down Girl: The Logic of Misogyny (2018) & Entitled: How Male Privilege Hurts Women (Crown/Penguin, Aug 2020). She/herCornell Universitykatemanne.netGoogle Scholar page7 years on TwitterRecent tweets: 13% new, 69% replies, 15% retweets, 4% quotesOn 525 user lists55,441 followers",651
10,10.,"Liam Bright@lastpositivistAspiring  philosopher; tolerable human; 'amusing combination of sardonic detachment & literally all the feelings felt entirely unironically all at once' [he/his]Google Scholar page11 years on TwitterRecent tweets: 5% new, 15% replies, 78% retweets, 2% quotesOn 408 user lists50,831 followers",636
11,11.,"Anita Leirfall@anitaleirfallAssociate Professor, Department of Philosophy, University of Bergen @UiB_philosophy @UiBOslo & Bergen, Norwayuib.no/persons/Anita.…11 years on TwitterRecent tweets: 31% new, 40% replies, 26% retweets, 4% quotesOn 602 user lists20,052 followers",598
12,12.,"Dr Skye Cleary@Skye_Cleary'How  to Be Authentic: Simone de Beauvoir & the Quest for Fulfillment' (US) out Aug 16 @stmartinspress / 'How to Be You' (UK) out July 14 @EburyPublishingNew York, NYread.macmillan.com/lp/how-to-be-a…9 years on TwitterRecent tweets: 26% new, 27% replies, 37% retweets, 10% quotesOn 290 user lists14,207 followers",584
