0,#,Account,Peer followers
1,1.,"Dr Rani Lill Anjum ☮️@ranilillanjumPhilosopher of science, medicine and causation at @UniNMBU. Work on philosophical bias in science. @Cause_Health #CauSciBook Signed the @Phil4Sustain pledge 🌍Ås, Norwayranilillanjum.comGoogle Scholar page12 years on TwitterRecent tweets: 11% new, 19% replies, 67% retweets, 3% quotesOn 489 user lists15,178 followers",718
2,2.,"Helen De Cruz@HelenreflectsPhilosophy  professor. Philosophy, science, religion, SFF, @SFWA, Codex, occasional  lute video, Philosophy Illustrated w/ @OUPAcademic. Any pronounsUtopiahelendecruz.netGoogle Scholar page8 years on TwitterRecent tweets: 13% new, 65% replies, 15% retweets, 6% quotesOn 190 user lists18,440 followers",655
3,3.,"Kate Manne@kate_manneWriter  & philosopher at Cornell, author of Down Girl: The Logic of Misogyny (2018) & Entitled: How Male Privilege Hurts Women (Crown/Penguin, Aug 2020). She/herCornell Universitykatemanne.netGoogle Scholar page7 years on TwitterRecent tweets: 13% new, 69% replies, 15% retweets, 4% quotesOn 525 user lists55,441 followers",651
4,4.,"Anita Leirfall@anitaleirfallAssociate Professor, Department of Philosophy, University of Bergen @UiB_philosophy @UiBOslo & Bergen, Norwayuib.no/persons/Anita.…11 years on TwitterRecent tweets: 31% new, 40% replies, 26% retweets, 4% quotesOn 602 user lists20,052 followers",598
5,5.,"Dr Skye Cleary@Skye_Cleary'How  to Be Authentic: Simone de Beauvoir & the Quest for Fulfillment' (US) out Aug 16 @stmartinspress / 'How to Be You' (UK) out July 14 @EburyPublishingNew York, NYread.macmillan.com/lp/how-to-be-a…9 years on TwitterRecent tweets: 26% new, 27% replies, 37% retweets, 10% quotesOn 290 user lists14,207 followers",584
6,6.,"Katie Stockdale@katiestockdaleAssistant Professor of Philosophy @uvic. Author of Hope Under Oppression, @OUPPhilosophy 2021. She/her.Victoria, British Columbiaglobal.oup.com/academic/produ…11 years on TwitterRecent tweets: 22% new, 69% replies, 9% retweets, 1% quotesOn 203 user lists8,080 followers",542
7,7.,"Cecily Whiteley@cecilymwhiteleyPhilosopher  working on consciousness science and psychiatry. PhD-ing @LSEPhilosophy. Soon to be @dartmouth_sof. Depression is more than a low  mood: psyche.coLondon / nyccecilywhiteley.com6 years on TwitterRecent tweets: 2% new, 55% replies, 39% retweets, 4% quotesOn 127 user lists7,951 followers",513
8,8.,"Anna Ezekiel@AnnaEzekiel1Historical  women philosophers | German philosophy & literature | translator Karoline von #Günderrode’s #PoeticFragments @SUNYPress @OUPPhilosophy @UoYPhilosophyHong Kongacezekiel.com10 years on TwitterRecent tweets: 61% new, 27% replies, 9% retweets, 2% quotesOn 91 user lists5,310 followers",465
9,9.,"Rebecca Buxton@RebeccaBuxtonLecturer in political theory, Cambridge. she/herCambridge, UK rebeccabuxton.com12 years on TwitterRecent tweets: 22% new, 38% replies, 35% retweets, 6% quotesOn 119 user lists12,229 followers",464
10,10.,"Prof Lisa Bortolotti@lisabortolottiItalian  philosopher living in London. Interested in belief, rationality, agency, and mental health. Editor of Philosophical Psychology (@JournalPHP).Londonlisabortolotti.comGoogle Scholar page11 years on TwitterRecent tweets: 11% new, 21% replies, 61% retweets, 7% quotesOn 201 user lists7,879 followers",440
