,username,accountname,peer follower,follower,time on Twitter
0,@GreggDCaruso,Gregg Caruso,769,23619,8
1,@ranilillanjum,Dr Rani Lill Anjum ☮️,718,15178,12
2,@DailyNousEditor,Daily Nous / Justin Weinberg,706,21771,8
3,@CliffordSosis,What Is It Like to Be a Philosopher?,697,16168,10
4,@csandis,Constantine Sandis,688,11808,11
5,@philosophybites,Nigel Warburton 🧡 #RejoinEU 🇺🇦,686,97277,13
6,@Philosophy_Mark,Mark Schroeder,682,6678,10
7,@Helenreflects,Helen De Cruz,655,18440,8
8,@kate_manne,Kate Manne,651,55441,7
9,@lastpositivist,Liam Bright,636,50831,11
10,@anitaleirfall,Anita Leirfall,598,20052,11
11,@Skye_Cleary,Dr Skye Cleary,584,14207,9
12,@GuyLongworth,Guy Longworth,573,13329,11
13,@add_hawk,C Thi Nguyen,565,21584,6
14,@timcrane102,Tim Crane,556,16832,11
15,@QCassam,Quassim Cassam,553,8553,7
16,@JustinCaouette,justin caouette,551,7706,9
17,@jasonintrator,Jason Stanley,542,122549,8
18,@katiestockdale,Katie Stockdale,542,8080,11
19,@davidpapineau,David Papineau,527,15340,12
20,@cedric_p,Cedric Paternotte,526,6798,14
21,@cecilymwhiteley,Cecily Whiteley,513,7951,6
22,@peoppenheimer,Paul Oppenheimer,507,6884,14
23,@briandavidearp,"Brian D. Earp, Ph.D.",505,24528,10
24,@keithfrankish,Keith Frankish,500,21073,12
25,@OlufemiOTaiwo,Olúfẹ́mi O. Táíwò,475,42615,2
26,@HistPhilosophy,Peter Adamson,468,34585,10
27,@AnnaEzekiel1,Anna Ezekiel,465,5310,10
28,@RebeccaBuxton,Rebecca Buxton,464,12229,12
29,@danieldennett,Daniel Dennett,463,306388,9
30,@AidanMcGlynn,Aidan McGlynn,453,7321,13
31,@lisabortolotti,Prof Lisa Bortolotti,440,7879,11
32,@amiasrinivasan,Amia Srinivasan,437,33375,14
33,@cdutilhnovaes,Prof. Catarina Dutilh Novaes 😷 💙,436,6115,11
34,@DanielleWenner,Danielle M. Wenner,433,5295,6
35,@philosophypills,Marylin Delgado,432,8188,9
36,@jichikawa,Jonathan Ichikawa,427,9287,13
37,@JakeWojtowicz,Jake Wojtowicz,426,3874,10
38,@wrwveit,Walter Veit,425,13461,5
39,@_RachelHandley,Rachel Handley 🏳️‍🌈,421,6651,11
40,@Raymodraco,Ray Monk,418,10829,13
41,@NeuroYogacara,B,417,8376,12
42,@Lauradol4,Laura D'Olimpio,415,4895,9
43,@eschwitz,Eric Schwitzgebel,413,4623,7
44,@BryanVanNorden,Bryan W. Van Norden,412,8750,8
45,@impractknow,josh habgood-coote,410,3344,10
46,@SarahWieten,Sarah Wieten,408,4243,9
47,@_rimabasu,Rima Basu,407,3560,12
48,@EtheHerring,Emily Herring,404,12956,10
49,@DoctorSpurt,David Spurrett,404,2958,9
50,@PeterSinger,Peter Singer,402,116152,13
51,@euthyphro,Jamie,401,6897,9
52,@KevinZollman,Kevin J.S. Zollman,400,7702,7
53,@BayouPhilosophy,Kevin M,397,7865,7
54,@rebecca_roache,rebecca roache,395,6800,11
55,@bayesianboy,Mel Andrews,394,11198,2
56,@SDMumford,Stephen Mumford,392,9640,12
57,@audreyseokhean,Audrey Yap,392,4115,8
58,@carriejenkins,Carrie Jenkins,389,7439,13
59,@patchurchland,Patricia Churchland,386,21459,11
60,@sergioten,Sergio Tenenbaum,384,3426,13
61,@Philip_Goff,Philip Goff,379,17551,11
62,@MartinKusch,Martin Kusch,379,5498,12
63,@danielcallcut,Daniel Callcut,377,3982,8
64,@kkthomason,Krista K. Thomason,373,3136,7
65,@msteenhagen,Maarten Steenhagen,371,4483,12
66,@epicciuto,Elizabeth Picciuto,370,16513,13
67,@Natalan,Natalie Alana Ashton,370,4641,12
68,@LogicalAnalysis,Logical Analysis,367,12546,12
69,@KSifferd,Katrina Sifferd,366,3697,9
70,@zoophilosophy,Dr Heather Browning,365,8646,2
71,@carl_b_sachs,Norbert Wiener Kreis,364,9656,8
72,@cailinmeister,Cailin O'Connor,363,6777,4
73,@MikeBenchCapon,Michael Bench-Capon,362,7154,10
74,@RebeccaBamford,Dr. Rebecca Bamford,362,3561,12
75,@KimptonNye,Samuel,362,3402,10
76,@danieljbrunson,Daniel J. Brunson,362,3005,9
77,@AgnesCallard,Agnes Callard,360,27763,4
78,@smithbarryc,Barry C Smith,360,9128,12
79,@christapeterso,worms cited,358,44199,11
80,@BenceNanay,Bence Nanay,357,53958,5
81,@KAnthonyAppiah,Kwame Anthony Appiah,353,21786,11
82,@marcusarvan,The Philosophers' Cocoon / Marcus Arvan,353,2398,8
83,@EpistemicAngst,Duncan Pritchard,351,2706,9
84,@rinireg,Regina Rini,350,5269,3
85,@bweatherson,Brian Weatherson,350,3684,13
86,@mpigliucci,Massimo Pigliucci,348,48178,12
87,@wesbuc,Wesley Buckwalter,348,2569,12
88,@morallawwithin,flo 🌷🐝,346,16492,5
89,@myishacherry,Dr. Myisha Cherry 🏳️‍🌈,345,5499,14
90,@quiteclare,Clare Moriarty,345,3388,5
91,@tomyames,Tomy Ames,345,1861,12
92,@jweisber,Jonathan Weisberg,343,5787,5
93,@keith_wilson,𝔎𝔢𝔦𝔱𝔥 𝔚𝔦𝔩𝔰𝔬𝔫 🆚 🦠,342,5367,13
94,@Dr_Jim1,Dr Jim Walsh 🇪🇺🇺🇳,340,38261,10
95,@nescio13,Digressionsnimpress.,340,4981,7
96,@StathisPsillos,Stathis Psillos,339,5547,7
97,@Alex_A_Guerrero,Alexander Guerrero,339,3113,8
98,@Angry_Cassie,“Boiling Heart’s Blood” Cassie,338,6741,3
99,@ProfMacpherson,Fiona Macpherson,337,4526,8
100,@diceyjennings,Carolyn Dicey Jennings,337,2119,2
101,@willmacaskill,William MacAskill,336,30810,10
102,@ErrorTheorist,John,336,8659,8
103,@ErikAngner,Erik Angner,336,7940,10
104,@alexbryant_,Alex Bryant,336,3222,1
105,@philoso_foster,jender pope,334,14000,10
106,@drlynnchiu,Lynn Chiu,333,4572,6
107,@DrSJFine,Sarah Fine,332,6095,5
108,@birchlse,Jonathan Birch,328,7277,2
109,@jttiehen,Justin Tiehen,328,3498,10
110,@martin_oneill,Martin O'Neill,326,10960,12
111,@yellow_dusk,rose (🪸=🍄=🌱),326,9794,11
112,@Floridi,Luciano Floridi,324,38686,12
113,@SabinaLeonelli,Sabina Leonelli,324,7449,9
114,@De_dicto,Ned Block,322,4991,12
115,@dbatherwoods,David Bather Woods,322,4361,2
116,@ewinsberg,Eric Winsberg,322,3278,12
117,@annefabpeter,Fabienne Peter,322,2350,2
118,@fitelson,Branden Fitelson,320,3378,12
119,@Wiglet1981,Richard Pettigrew,320,2390,2
120,@Utiliwood,Christopher Woodard,319,2637,10
121,@daisyldixon,Daisy Dixon,318,11809,9
122,@JTasioulas,John Tasioulas,316,22561,9
123,@SteveCooke,GrumpyPhilosopher,316,4833,14
124,@agholdier,A.G. Holdier,316,3393,12
125,@olehjortland,Ole Hjortland,315,3441,14
