,username,accountname,peer follower,follower,time on Twitter
0,@ranilillanjum,Dr Rani Lill Anjum ☮️,718,15178,12
1,@Helenreflects,Helen De Cruz,655,18440,8
2,@kate_manne,Kate Manne,651,55441,7
3,@anitaleirfall,Anita Leirfall,598,20052,11
4,@Skye_Cleary,Dr Skye Cleary,584,14207,9
5,@katiestockdale,Katie Stockdale,542,8080,11
6,@cecilymwhiteley,Cecily Whiteley,513,7951,6
7,@AnnaEzekiel1,Anna Ezekiel,465,5310,10
8,@RebeccaBuxton,Rebecca Buxton,464,12229,12
9,@lisabortolotti,Prof Lisa Bortolotti,440,7879,11
10,@amiasrinivasan,Amia Srinivasan,437,33375,14
11,@cdutilhnovaes,Prof. Catarina Dutilh Novaes 😷 💙,436,6115,11
12,@DanielleWenner,Danielle M. Wenner,433,5295,6
13,@philosophypills,Marylin Delgado,432,8188,9
14,@_RachelHandley,Rachel Handley 🏳️‍🌈,421,6651,11
15,@Lauradol4,Laura D'Olimpio,415,4895,9
16,@SarahWieten,Sarah Wieten,408,4243,9
17,@_rimabasu,Rima Basu,407,3560,12
18,@EtheHerring,Emily Herring,404,12956,10
19,@euthyphro,Jamie,401,6897,9
20,@rebecca_roache,rebecca roache,395,6800,11
21,@audreyseokhean,Audrey Yap,392,4115,8
22,@carriejenkins,Carrie Jenkins,389,7439,13
23,@patchurchland,Patricia Churchland,386,21459,11
24,@kkthomason,Krista K. Thomason,373,3136,7
25,@epicciuto,Elizabeth Picciuto,370,16513,13
26,@Natalan,Natalie Alana Ashton,370,4641,12
27,@KSifferd,Katrina Sifferd,366,3697,9
28,@zoophilosophy,Dr Heather Browning,365,8646,2
29,@cailinmeister,Cailin O'Connor,363,6777,4
30,@RebeccaBamford,Dr. Rebecca Bamford,362,3561,12
31,@AgnesCallard,Agnes Callard,360,27763,4
32,@christapeterso,worms cited,358,44199,11
33,@rinireg,Regina Rini,350,5269,3
34,@morallawwithin,flo 🌷🐝,346,16492,5
35,@myishacherry,Dr. Myisha Cherry 🏳️‍🌈,345,5499,14
36,@quiteclare,Clare Moriarty,345,3388,5
37,@Angry_Cassie,“Boiling Heart’s Blood” Cassie,338,6741,3
38,@ProfMacpherson,Fiona Macpherson,337,4526,8
39,@diceyjennings,Carolyn Dicey Jennings,337,2119,2
40,@philoso_foster,jender pope,334,14000,10
41,@drlynnchiu,Lynn Chiu,333,4572,6
42,@DrSJFine,Sarah Fine,332,6095,5
43,@SabinaLeonelli,Sabina Leonelli,324,7449,9
44,@annefabpeter,Fabienne Peter,322,2350,2
45,@daisyldixon,Daisy Dixon,318,11809,9
46,@emilytwrites,Emily Thomas,310,5401,4
47,@SamJaneB,Dr. Samantha Brennan,307,3737,13
48,@KathrineCuccuru,Kathrine Cuccuru,307,1908,6
49,@Schellenberg_1,Susanna Schellenberg,305,1761,1
50,@HawleyKatherine,Katherine Hawley,299,3090,6
51,@SaraLUckelman,Doctor Logic,295,5330,7
52,@zaranosaur,Zara B,293,8932,9
53,@KathleenACreel,Kathleen Creel,293,2360,3
54,@PhilosoKiki,Kristin SW,289,2490,11
55,@jennifermmorton,Jennifer Morton,288,3216,12
56,@p_realism,Michela Massimi,284,3575,6
57,@jennfrey,Jennifer A. Frey,283,21533,11
58,@LizardVentham,Lizard Ventham 🦎,280,1892,7
59,@katfurman,Katherine Furman,274,1980,11
60,@rachelefraser,Rachel Fraser,268,4266,3
61,@larkofadefinite,Gillian Russell,267,2621,13
62,@APotochnik,Angela Potochnik,265,2423,8
63,@JanaMohrLone,Jana Mohr Lone,264,4648,11
64,@russokrauss,Chiara Russo Krauss 🇪🇺🇮🇹,264,4528,2
65,@CarissaVeliz,Carissa Véliz,260,16382,10
66,@FerryDanini,Dr. Juliette,258,21750,9
67,@kmlindem,Kathryn Lindeman,258,2079,13
68,@aliboyle6,Ali Boyle,252,1791,6
69,@Ljiljana1972,Pelagia,250,7184,5
70,@Joey_K_Pollock,Joey Pollock,250,1384,5
71,@siegel_susanna,susanna siegel,249,2107,1
72,@fleurjongepier,Fleur Jongepier,247,4228,8
73,@thisishannahkim,Hannah Kim,246,2133,1
74,@LucyFOBrien,Lucy  O'Brien,242,1567,13
75,@bioethicsbarbie,Jaime Valentine,240,4119,10
76,@judge_jen,Jenny Judge,235,2862,10
77,@drcolleenmurphy,Colleen Murphy,233,5003,6
78,@docfreeride,"Dr. Janet D. Stemwedel, PhD 🏳️‍🌈",231,14789,13
79,@cajames4,Christine James,230,2404,11
80,@tPhilosophia,dPhilosopher,229,8895,12
81,@alabalawhiskey,Jessie Munton (she / her),229,1617,10
82,@ProfWiddows,Heather Widdows,228,3086,8
83,@amandakbryant,Amanda Bryant,227,2551,7
84,@DrCarolHay,Carol Hay,227,2150,8
85,@ShannonVallor,Shannon Vallor,226,14898,11
86,@haicinnamon,Haixin Dang,225,1448,12
87,@donatellado,Donatella Donati,224,2262,10
88,@JennySaul1,Jenny Saul,224,1293,9
89,@alexxguss,Alexandra Gustafson,222,3794,1
90,@philosofemme,Kate Kirkpatrick,221,4883,7
91,@leydonhardy,Lauren Leydon-Hardy,221,1030,7
92,@MisakCheryl,Cheryl Misak,220,2079,3
93,@El_Dritch,Elizabeth Hannon,220,1169,10
94,@EllyVintiadis,Elly Vintiadis,218,2154,13
95,@GiadaFra_tanto,Giada Fratantonio,218,1662,8
